close_time,volume,n_trades,RSI,Will,CCI,ROC,ADX,TRIX,OBV,MFI,BOP,DX,ATR,STOCH_K,STOCH_D,Price_Change_pct,PREV_TARGET,TARGET,marketcap_usd,google_trends,median_transaction_value_usd,maximum_single_transaction_value_usd,new_coins_generated,fees_usd,difficulty,number_of_blocks,VPT,PVO
2018-02-15,52427.596715,608349,64.17157490441667,-8.80114883051139,170.88680182524806,28.469479780370555,29.982094846136928,-0.3619738704305764,-87946.28240800003,73.37423460908063,0.5992483660130725,31.046159638805328,1003.2825142025551,91.1988511694886,82.31563548226487,0.0582128216144373,1,1.0,171477807436.0,13.3,140.36,126426708.25,1637.5,643003.51,2874674234415.94,131,7401.195307488893,-0.7441797623279154
2018-02-16,38161.205974,405310,65.73297372442937,-6.291877820736016,119.58839517056433,16.997623193212274,30.466596637793057,0.1703595121927748,-49785.07643400003,75.43552726072919,0.2420098270380454,33.37360738772983,953.8664407450476,93.70812217926398,84.66261044539202,0.0159075842250039,1,1.0,172637061144.0,11.9,118.18,22397855.46,1962.5,593566.09,2874674234415.94,157,3662.053657589972,-1.8482495540799315
2018-02-17,41882.108407,413585,73.22246904553674,-1.0607608091884952,122.63388706011013,29.35992350579681,32.99280857138065,0.7653154406865204,-7902.968027000032,75.66441865267934,0.8618728477079612,48.150080172906215,964.0383777814692,98.9392391908115,88.04866428090396,0.0869903417365181,1,0.0,187482083882.0,11.2,119.02,18266518.13,1862.5,539754.48,2874674234415.94,149,4235.972791554072,-1.9644176638461093
2018-02-18,61137.380728,537534,61.52057458573997,-27.6488668115492,84.02158626860779,28.76468895866506,35.632826282885894,1.1566489212623043,-69040.34875500003,68.65258029688364,-0.5495142378559456,51.47293255191735,996.8900380984022,72.3511331884508,88.76742724817328,-0.0594335819847728,0,1.0,178040648021.0,9.9,104.17,26043075.0,2024.99999999,464434.3,2874674234415.94,162,-7.794769209792776,0.8291101344722076
2018-02-19,40831.417131,366882,68.42551227273216,-4.139582620595279,91.516065274698,25.27238009659665,37.895698607033246,1.5101003049512671,-28208.931624000023,69.47242367856703,0.7941347596639682,51.47293255191735,994.4300326557732,95.86041737940472,88.93457201065232,0.0749869156752619,1,1.0,189426791571.0,9.3,115.41,111822800.0,2024.99999999,569279.79,2874674234415.94,162,-607.3848480279021,-0.604214097107187
2018-02-20,48153.354288,432197,68.83240866232818,-17.9839594713819,111.8230297541572,31.16066932868067,41.15458210745398,1.766629251634089,19944.422663999976,80.75526065578855,0.0786087362493058,60.7078831099784,950.2857422763772,82.0160405286181,90.28687197832744,0.0048335398143553,1,0.0,192457815911.0,10.8,129.61,49213100.94,1762.5,587931.53,3007383866429.73,141,3233.426697788993,-0.503246840498873
2018-02-21,68113.818754,542340,55.54759937738193,-54.27267348491251,11.388678470138878,10.45091053006406,37.710439753174605,1.7773762752244735,-48169.39609000003,63.0417502024502,-0.686095486535691,17.045585627498305,972.2492076654662,45.72732651508749,82.82873287873217,-0.0676610329368194,0,0.0,180442459820.0,10.2,146.1,52408300.0,2112.5,426420.91,3007383866429.73,169,-4435.01736842438,2.199767037952755
2018-02-22,67060.166483,506273,46.88313045710661,-93.15852283715638,-102.01205997425014,-1.8904829856531191,32.47912689439536,1.553136974295266,-115229.56257300005,47.063367499330695,-0.5006058480278047,1.091249741719855,1012.5621779989712,6.841477162843612,70.77767944921146,-0.0601569879164902,0,1.0,168892273935.0,9.6,121.63,49239795.08,1862.5,370305.29,3007383866429.73,149,-8667.778532220067,3.303257813565964
2018-02-23,57202.70237,467480,51.40009019102505,-74.68882851495155,-121.69177029521418,-0.2848430803997548,28.50921866875355,1.2999939810692362,-58026.86020300003,35.423621801186954,0.3648084550363684,4.689769314902712,991.454723999118,25.311171485048444,61.00668649289496,0.0321418565439533,1,0.0,173909350860.0,8.4,121.71,77029257.35,1850.0,752459.71,3007383866429.73,148,-2159.821620062318,2.3798689469336125
2018-02-24,40888.156299,337918,45.27288002703588,-85.92815970353449,-103.72095847415824,-12.183829956837,26.17443222487238,0.9856108703496737,-98915.01650200004,24.66536697528944,-0.3812588976130386,12.165713561585326,1013.3854777135296,14.071840296465512,48.882772365131245,-0.0430883699995262,0,0.0,165687799108.0,7.8,134.76,160247023.41,1812.5,932774.61,3007383866429.73,145,103.93752053855974,-0.4681117384712117
